,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
7113,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1597,448,28.0,ALGONQUIN 57,2018_General Election
1342,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1597,108,7.0,ALGONQUIN 57,2018_General Election
1343,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1597,0,0.0,ALGONQUIN 57,2018_General Election
10137,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1597,511,32.0,ALGONQUIN 57,2018_General Election
10138,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1597,164,10.0,ALGONQUIN 57,2018_General Election
1344,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1597,85,5.0,ALGONQUIN 57,2018_General Election
1345,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1597,0,0.0,ALGONQUIN 57,2018_General Election
10139,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1597,520,33.0,ALGONQUIN 57,2018_General Election
10140,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1597,149,9.0,ALGONQUIN 57,2018_General Election
1346,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1597,91,6.0,ALGONQUIN 57,2018_General Election
1347,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1597,0,0.0,ALGONQUIN 57,2018_General Election
5450,33RD SENATE,NANCY ZETTLER,DEMOCRACT,1597,454,28.0,ALGONQUIN 57,2018_General Election
7111,33RD SENATE,DONALD P. DeWITTE,REPUBLICAN,1597,296,19.0,ALGONQUIN 57,2018_General Election
1338,33RD SENATE,Under Votes,,1597,10,1.0,ALGONQUIN 57,2018_General Election
1339,33RD SENATE,Over Votes,,1597,0,0.0,ALGONQUIN 57,2018_General Election
7112,66TH REPRESENTATIVE,ALLEN SKILLICORN,REPUBLICAN,1597,428,27.0,ALGONQUIN 57,2018_General Election
1340,66TH REPRESENTATIVE,Under Votes,,1597,99,6.0,ALGONQUIN 57,2018_General Election
1341,66TH REPRESENTATIVE,Over Votes,,1597,0,0.0,ALGONQUIN 57,2018_General Election
5444,6TH CONGRESS,SEAN CASTEN,DEMOCRACT,1597,477,30.0,ALGONQUIN 57,2018_General Election
7105,6TH CONGRESS,PETER J. ROSKAM,REPUBLICAN,1597,278,17.0,ALGONQUIN 57,2018_General Election
1326,6TH CONGRESS,Under Votes,,1597,5,0.0,ALGONQUIN 57,2018_General Election
1327,6TH CONGRESS,Over Votes,,1597,0,0.0,ALGONQUIN 57,2018_General Election
5446,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,1597,444,28.0,ALGONQUIN 57,2018_General Election
7107,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1597,289,18.0,ALGONQUIN 57,2018_General Election
8860,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,1597,25,2.0,ALGONQUIN 57,2018_General Election
1330,ATTORNEY GENERAL,Under Votes,,1597,2,0.0,ALGONQUIN 57,2018_General Election
1331,ATTORNEY GENERAL,Over Votes,,1597,0,0.0,ALGONQUIN 57,2018_General Election
5448,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,1597,469,29.0,ALGONQUIN 57,2018_General Election
7109,COMPTROLLER,DARLENE SENGER,REPUBLICAN,1597,266,17.0,ALGONQUIN 57,2018_General Election
8862,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,1597,22,1.0,ALGONQUIN 57,2018_General Election
1334,COMPTROLLER,Under Votes,,1597,3,0.0,ALGONQUIN 57,2018_General Election
1335,COMPTROLLER,Over Votes,,1597,0,0.0,ALGONQUIN 57,2018_General Election
