,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
8100,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1273,436,34.0,MCHENRY 21,2018_General Election
6195,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1273,270,21.0,MCHENRY 21,2018_General Election
3836,14TH CONGRESS,Under Votes,,1273,12,1.0,MCHENRY 21,2018_General Election
3837,14TH CONGRESS,Over Votes,,1273,0,0.0,MCHENRY 21,2018_General Election
8108,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1273,550,43.0,MCHENRY 21,2018_General Election
3852,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1273,89,7.0,MCHENRY 21,2018_General Election
3853,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1273,0,0.0,MCHENRY 21,2018_General Election
10657,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1273,490,38.0,MCHENRY 21,2018_General Election
10658,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1273,140,11.0,MCHENRY 21,2018_General Election
3854,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1273,88,7.0,MCHENRY 21,2018_General Election
3855,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1273,0,0.0,MCHENRY 21,2018_General Election
10659,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1273,503,40.0,MCHENRY 21,2018_General Election
10660,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1273,129,10.0,MCHENRY 21,2018_General Election
3856,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1273,86,7.0,MCHENRY 21,2018_General Election
3857,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1273,0,0.0,MCHENRY 21,2018_General Election
8106,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1273,450,35.0,MCHENRY 21,2018_General Election
6201,32ND SENATE,MARY MAHADY,DEMOCRACT,1273,257,20.0,MCHENRY 21,2018_General Election
3848,32ND SENATE,Under Votes,,1273,11,1.0,MCHENRY 21,2018_General Election
3849,32ND SENATE,Over Votes,,1273,0,0.0,MCHENRY 21,2018_General Election
8107,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,1273,541,42.0,MCHENRY 21,2018_General Election
3850,63RD REPRESENTATIVE,Under Votes,,1273,78,6.0,MCHENRY 21,2018_General Election
3851,63RD REPRESENTATIVE,Over Votes,,1273,0,0.0,MCHENRY 21,2018_General Election
8102,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1273,435,34.0,MCHENRY 21,2018_General Election
6197,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,1273,243,19.0,MCHENRY 21,2018_General Election
9380,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,1273,27,2.0,MCHENRY 21,2018_General Election
3840,ATTORNEY GENERAL,Under Votes,,1273,12,1.0,MCHENRY 21,2018_General Election
3841,ATTORNEY GENERAL,Over Votes,,1273,1,0.0,MCHENRY 21,2018_General Election
8104,COMPTROLLER,DARLENE SENGER,REPUBLICAN,1273,412,32.0,MCHENRY 21,2018_General Election
6199,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,1273,262,21.0,MCHENRY 21,2018_General Election
9382,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,1273,29,2.0,MCHENRY 21,2018_General Election
3844,COMPTROLLER,Under Votes,,1273,15,1.0,MCHENRY 21,2018_General Election
3845,COMPTROLLER,Over Votes,,1273,0,0.0,MCHENRY 21,2018_General Election
8101,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,1273,446,35.0,MCHENRY 21,2018_General Election
6196,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,1273,222,17.0,MCHENRY 21,2018_General Election
9379,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,1273,21,2.0,MCHENRY 21,2018_General Election
9795,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,1273,18,1.0,MCHENRY 21,2018_General Election
3838,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,1273,9,1.0,MCHENRY 21,2018_General Election
10656,GOVERNOR AND LIEUTENANT GOVERNOR,Write-in,NONPARTISAN,1273,2,0.0,MCHENRY 21,2018_General Election
3839,GOVERNOR AND LIEUTENANT GOVERNOR,Over Votes,,1273,0,0.0,MCHENRY 21,2018_General Election
6198,SECRETARY OF STATE,JESSE WHITE,DEMOCRACT,1273,364,29.0,MCHENRY 21,2018_General Election
8103,SECRETARY OF STATE,JASON HELLAND,REPUBLICAN,1273,320,25.0,MCHENRY 21,2018_General Election
9381,SECRETARY OF STATE,STEVE DUTNER,LIBERTARIAN,1273,25,2.0,MCHENRY 21,2018_General Election
3842,SECRETARY OF STATE,Under Votes,,1273,9,1.0,MCHENRY 21,2018_General Election
3843,SECRETARY OF STATE,Over Votes,,1273,0,0.0,MCHENRY 21,2018_General Election
8105,TREASURER,JIM DODGE,REPUBLICAN,1273,433,34.0,MCHENRY 21,2018_General Election
6200,TREASURER,MICHAEL W. FRERICHS,DEMOCRACT,1273,236,19.0,MCHENRY 21,2018_General Election
9383,TREASURER,MICHAEL LEHENEY,LIBERTARIAN,1273,34,3.0,MCHENRY 21,2018_General Election
3846,TREASURER,Under Votes,,1273,15,1.0,MCHENRY 21,2018_General Election
3847,TREASURER,Over Votes,,1273,0,0.0,MCHENRY 21,2018_General Election
