,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
7059,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1374,497,36.0,ALGONQUIN 51,2018_General Election
1204,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1374,87,6.0,ALGONQUIN 51,2018_General Election
1205,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1374,0,0.0,ALGONQUIN 51,2018_General Election
10107,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1374,496,36.0,ALGONQUIN 51,2018_General Election
10108,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1374,171,12.0,ALGONQUIN 51,2018_General Election
1206,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1374,87,6.0,ALGONQUIN 51,2018_General Election
1207,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1374,0,0.0,ALGONQUIN 51,2018_General Election
10109,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1374,527,38.0,ALGONQUIN 51,2018_General Election
10110,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1374,135,10.0,ALGONQUIN 51,2018_General Election
1208,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1374,92,7.0,ALGONQUIN 51,2018_General Election
1209,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1374,0,0.0,ALGONQUIN 51,2018_General Election
5408,33RD SENATE,NANCY ZETTLER,DEMOCRACT,1374,396,29.0,ALGONQUIN 51,2018_General Election
7057,33RD SENATE,DONALD P. DeWITTE,REPUBLICAN,1374,346,25.0,ALGONQUIN 51,2018_General Election
1200,33RD SENATE,Under Votes,,1374,12,1.0,ALGONQUIN 51,2018_General Election
1201,33RD SENATE,Over Votes,,1374,0,0.0,ALGONQUIN 51,2018_General Election
7058,66TH REPRESENTATIVE,ALLEN SKILLICORN,REPUBLICAN,1374,493,36.0,ALGONQUIN 51,2018_General Election
1202,66TH REPRESENTATIVE,Under Votes,,1374,86,6.0,ALGONQUIN 51,2018_General Election
1203,66TH REPRESENTATIVE,Over Votes,,1374,1,0.0,ALGONQUIN 51,2018_General Election
5402,6TH CONGRESS,SEAN CASTEN,DEMOCRACT,1374,412,30.0,ALGONQUIN 51,2018_General Election
7051,6TH CONGRESS,PETER J. ROSKAM,REPUBLICAN,1374,337,25.0,ALGONQUIN 51,2018_General Election
1188,6TH CONGRESS,Under Votes,,1374,6,0.0,ALGONQUIN 51,2018_General Election
1189,6TH CONGRESS,Over Votes,,1374,0,0.0,ALGONQUIN 51,2018_General Election
5404,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,1374,370,27.0,ALGONQUIN 51,2018_General Election
7053,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1374,361,26.0,ALGONQUIN 51,2018_General Election
8830,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,1374,16,1.0,ALGONQUIN 51,2018_General Election
1192,ATTORNEY GENERAL,Under Votes,,1374,7,1.0,ALGONQUIN 51,2018_General Election
1193,ATTORNEY GENERAL,Over Votes,,1374,0,0.0,ALGONQUIN 51,2018_General Election
5406,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,1374,400,29.0,ALGONQUIN 51,2018_General Election
7055,COMPTROLLER,DARLENE SENGER,REPUBLICAN,1374,315,23.0,ALGONQUIN 51,2018_General Election
8832,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,1374,31,2.0,ALGONQUIN 51,2018_General Election
1196,COMPTROLLER,Under Votes,,1374,8,1.0,ALGONQUIN 51,2018_General Election
1197,COMPTROLLER,Over Votes,,1374,0,0.0,ALGONQUIN 51,2018_General Election
5403,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,1374,359,26.0,ALGONQUIN 51,2018_General Election
7052,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,1374,346,25.0,ALGONQUIN 51,2018_General Election
9685,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,1374,21,2.0,ALGONQUIN 51,2018_General Election
8829,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,1374,19,1.0,ALGONQUIN 51,2018_General Election
1190,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,1374,6,0.0,ALGONQUIN 51,2018_General Election
10106,GOVERNOR AND LIEUTENANT GOVERNOR,Write-in,NONPARTISAN,1374,3,0.0,ALGONQUIN 51,2018_General Election
1191,GOVERNOR AND LIEUTENANT GOVERNOR,Over Votes,,1374,0,0.0,ALGONQUIN 51,2018_General Election
5405,SECRETARY OF STATE,JESSE WHITE,DEMOCRACT,1374,508,37.0,ALGONQUIN 51,2018_General Election
7054,SECRETARY OF STATE,JASON HELLAND,REPUBLICAN,1374,217,16.0,ALGONQUIN 51,2018_General Election
8831,SECRETARY OF STATE,STEVE DUTNER,LIBERTARIAN,1374,26,2.0,ALGONQUIN 51,2018_General Election
1194,SECRETARY OF STATE,Under Votes,,1374,3,0.0,ALGONQUIN 51,2018_General Election
1195,SECRETARY OF STATE,Over Votes,,1374,0,0.0,ALGONQUIN 51,2018_General Election
5407,TREASURER,MICHAEL W. FRERICHS,DEMOCRACT,1374,372,27.0,ALGONQUIN 51,2018_General Election
7056,TREASURER,JIM DODGE,REPUBLICAN,1374,333,24.0,ALGONQUIN 51,2018_General Election
8833,TREASURER,MICHAEL LEHENEY,LIBERTARIAN,1374,33,2.0,ALGONQUIN 51,2018_General Election
1198,TREASURER,Under Votes,,1374,16,1.0,ALGONQUIN 51,2018_General Election
1199,TREASURER,Over Votes,,1374,0,0.0,ALGONQUIN 51,2018_General Election
