ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,686,323,47.0,ALGONQUIN 19,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,686,122,18.0,ALGONQUIN 19,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,686,0,0.0,ALGONQUIN 19,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,686,0,0.0,ALGONQUIN 19,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,686,271,40.0,ALGONQUIN 19,2016_General Election
32ND SENATE,MELISSA COYNE,Democrat,686,151,22.0,ALGONQUIN 19,2016_General Election
32ND SENATE,Blank Ballots,,686,23,3.0,ALGONQUIN 19,2016_General Election
32ND SENATE,Under Votes,,686,0,0.0,ALGONQUIN 19,2016_General Election
32ND SENATE,Over Votes,,686,0,0.0,ALGONQUIN 19,2016_General Election
64TH REPRESENTATIVE,BARBARA WHEELER,Republican,686,326,48.0,ALGONQUIN 19,2016_General Election
64TH REPRESENTATIVE,Blank Ballots,,686,119,17.0,ALGONQUIN 19,2016_General Election
64TH REPRESENTATIVE,Under Votes,,686,0,0.0,ALGONQUIN 19,2016_General Election
64TH REPRESENTATIVE,Over Votes,,686,0,0.0,ALGONQUIN 19,2016_General Election
6TH CONGRESS,PETER J. ROSKAM,Republican,686,230,34.0,ALGONQUIN 19,2016_General Election
6TH CONGRESS,AMANDA HOWLAND,Democrat,686,198,29.0,ALGONQUIN 19,2016_General Election
6TH CONGRESS,Blank Ballots,,686,18,3.0,ALGONQUIN 19,2016_General Election
6TH CONGRESS,Under Votes,,686,0,0.0,ALGONQUIN 19,2016_General Election
6TH CONGRESS,Over Votes,,686,0,0.0,ALGONQUIN 19,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,686,232,34.0,ALGONQUIN 19,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,686,164,24.0,ALGONQUIN 19,2016_General Election
COMPTROLLER,TIM CURTIN,Green,686,20,3.0,ALGONQUIN 19,2016_General Election
COMPTROLLER,Blank Ballots,,686,15,2.0,ALGONQUIN 19,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,686,14,2.0,ALGONQUIN 19,2016_General Election
COMPTROLLER,Under Votes,,686,0,0.0,ALGONQUIN 19,2016_General Election
COMPTROLLER,Over Votes,,686,0,0.0,ALGONQUIN 19,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,686,295,43.0,ALGONQUIN 19,2016_General Election
