,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
7946,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1286,429,33.0,MCHENRY 4,2018_General Election
6073,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1286,259,20.0,MCHENRY 4,2018_General Election
3443,14TH CONGRESS,Under Votes,,1286,8,1.0,MCHENRY 4,2018_General Election
3444,14TH CONGRESS,Over Votes,,1286,0,0.0,MCHENRY 4,2018_General Election
7954,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1286,556,43.0,MCHENRY 4,2018_General Election
3459,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1286,73,6.0,MCHENRY 4,2018_General Election
3460,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1286,0,0.0,MCHENRY 4,2018_General Election
10572,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1286,490,38.0,MCHENRY 4,2018_General Election
10573,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1286,116,9.0,MCHENRY 4,2018_General Election
3461,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1286,89,7.0,MCHENRY 4,2018_General Election
3462,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1286,0,0.0,MCHENRY 4,2018_General Election
10574,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1286,507,39.0,MCHENRY 4,2018_General Election
10575,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1286,103,8.0,MCHENRY 4,2018_General Election
3463,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1286,85,7.0,MCHENRY 4,2018_General Election
3464,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1286,0,0.0,MCHENRY 4,2018_General Election
7952,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1286,442,34.0,MCHENRY 4,2018_General Election
6079,32ND SENATE,MARY MAHADY,DEMOCRACT,1286,239,19.0,MCHENRY 4,2018_General Election
3455,32ND SENATE,Under Votes,,1286,13,1.0,MCHENRY 4,2018_General Election
3456,32ND SENATE,Over Votes,,1286,1,0.0,MCHENRY 4,2018_General Election
7953,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,1286,549,43.0,MCHENRY 4,2018_General Election
3457,63RD REPRESENTATIVE,Under Votes,,1286,62,5.0,MCHENRY 4,2018_General Election
3458,63RD REPRESENTATIVE,Over Votes,,1286,0,0.0,MCHENRY 4,2018_General Election
7948,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1286,466,36.0,MCHENRY 4,2018_General Election
6075,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,1286,201,16.0,MCHENRY 4,2018_General Election
9295,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,1286,18,1.0,MCHENRY 4,2018_General Election
3447,ATTORNEY GENERAL,Under Votes,,1286,9,1.0,MCHENRY 4,2018_General Election
3448,ATTORNEY GENERAL,Over Votes,,1286,1,0.0,MCHENRY 4,2018_General Election
7950,COMPTROLLER,DARLENE SENGER,REPUBLICAN,1286,432,34.0,MCHENRY 4,2018_General Election
6077,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,1286,236,18.0,MCHENRY 4,2018_General Election
9297,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,1286,14,1.0,MCHENRY 4,2018_General Election
3451,COMPTROLLER,Under Votes,,1286,13,1.0,MCHENRY 4,2018_General Election
3452,COMPTROLLER,Over Votes,,1286,0,0.0,MCHENRY 4,2018_General Election
