ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,1320,635,48.0,NUNDA 21,2016_General Election
14TH CONGRESS,JIM WALZ,Democrat,1320,267,20.0,NUNDA 21,2016_General Election
14TH CONGRESS,Blank Ballots,,1320,29,2.0,NUNDA 21,2016_General Election
14TH CONGRESS,Under Votes,,1320,0,0.0,NUNDA 21,2016_General Election
14TH CONGRESS,Over Votes,,1320,0,0.0,NUNDA 21,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,1320,740,56.0,NUNDA 21,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,1320,187,14.0,NUNDA 21,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,1320,0,0.0,NUNDA 21,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,1320,0,0.0,NUNDA 21,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,1320,681,52.0,NUNDA 21,2016_General Election
32ND SENATE,MELISSA COYNE,Democrat,1320,221,17.0,NUNDA 21,2016_General Election
32ND SENATE,Blank Ballots,,1320,25,2.0,NUNDA 21,2016_General Election
32ND SENATE,Under Votes,,1320,0,0.0,NUNDA 21,2016_General Election
32ND SENATE,Over Votes,,1320,0,0.0,NUNDA 21,2016_General Election
64TH REPRESENTATIVE,BARBARA WHEELER,Republican,1320,756,57.0,NUNDA 21,2016_General Election
64TH REPRESENTATIVE,Blank Ballots,,1320,171,13.0,NUNDA 21,2016_General Election
64TH REPRESENTATIVE,Under Votes,,1320,0,0.0,NUNDA 21,2016_General Election
64TH REPRESENTATIVE,Over Votes,,1320,0,0.0,NUNDA 21,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1320,616,47.0,NUNDA 21,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,1320,237,18.0,NUNDA 21,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1320,31,2.0,NUNDA 21,2016_General Election
COMPTROLLER,Blank Ballots,,1320,29,2.0,NUNDA 21,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1320,14,1.0,NUNDA 21,2016_General Election
COMPTROLLER,Under Votes,,1320,0,0.0,NUNDA 21,2016_General Election
COMPTROLLER,Over Votes,,1320,0,0.0,NUNDA 21,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,1320,661,50.0,NUNDA 21,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,1320,202,15.0,NUNDA 21,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,1320,64,5.0,NUNDA 21,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,1320,0,0.0,NUNDA 21,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,1320,0,0.0,NUNDA 21,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1320,499,38.0,NUNDA 21,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,1320,338,26.0,NUNDA 21,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1320,55,4.0,NUNDA 21,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,1320,22,2.0,NUNDA 21,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1320,9,1.0,NUNDA 21,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,1320,7,1.0,NUNDA 21,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,1320,1,0.0,NUNDA 21,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,1320,0,0.0,NUNDA 21,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,1320,0,0.0,NUNDA 21,2016_General Election
