,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
8182,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,654,193,30.0,MCHENRY 29,2018_General Election
8126,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,749,191,26.0,MCHENRY 23,2018_General Election
8117,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,427,137,32.0,MCHENRY 22,2018_General Election
3852,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1273,89,7.0,MCHENRY 21,2018_General Election
3992,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1249,79,6.0,MCHENRY 27,2018_General Election
3946,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1263,66,5.0,MCHENRY 25,2018_General Election
3829,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,739,65,9.0,MCHENRY 20,2018_General Election
3898,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,749,55,7.0,MCHENRY 23,2018_General Election
3923,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1208,53,4.0,MCHENRY 24,2018_General Election
3969,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,492,45,9.0,MCHENRY 26,2018_General Election
4017,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,569,42,7.0,MCHENRY 28,2018_General Election
4040,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,654,36,6.0,MCHENRY 29,2018_General Election
3875,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,427,24,6.0,MCHENRY 22,2018_General Election
3830,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,739,0,0.0,MCHENRY 20,2018_General Election
3853,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1273,0,0.0,MCHENRY 21,2018_General Election
3876,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,427,0,0.0,MCHENRY 22,2018_General Election
3899,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,749,0,0.0,MCHENRY 23,2018_General Election
3924,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1208,0,0.0,MCHENRY 24,2018_General Election
3947,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1263,0,0.0,MCHENRY 25,2018_General Election
3970,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,492,0,0.0,MCHENRY 26,2018_General Election
3993,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1249,0,0.0,MCHENRY 27,2018_General Election
4018,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,569,0,0.0,MCHENRY 28,2018_General Election
4041,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,654,0,0.0,MCHENRY 29,2018_General Election
10657,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1273,490,38.0,MCHENRY 21,2018_General Election
10687,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1249,471,38.0,MCHENRY 27,2018_General Election
10672,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1208,397,33.0,MCHENRY 24,2018_General Election
10677,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1263,330,26.0,MCHENRY 25,2018_General Election
10652,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,739,279,38.0,MCHENRY 20,2018_General Election
10667,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,749,213,28.0,MCHENRY 23,2018_General Election
10682,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,492,198,40.0,MCHENRY 26,2018_General Election
10692,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,569,193,34.0,MCHENRY 28,2018_General Election
10697,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,654,192,29.0,MCHENRY 29,2018_General Election
10658,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1273,140,11.0,MCHENRY 21,2018_General Election
10662,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,427,127,30.0,MCHENRY 22,2018_General Election
10673,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1208,118,10.0,MCHENRY 24,2018_General Election
10688,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1249,117,9.0,MCHENRY 27,2018_General Election
10678,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1263,115,9.0,MCHENRY 25,2018_General Election
