ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,1265,617,49.0,ALGONQUIN 41,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,1265,240,19.0,ALGONQUIN 41,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,1265,0,0.0,ALGONQUIN 41,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,1265,0,0.0,ALGONQUIN 41,2016_General Election
26TH SENATE,DAN McCONCHIE,Republican,1265,435,34.0,ALGONQUIN 41,2016_General Election
26TH SENATE,KELLY MAZESKI,Democrat,1265,373,29.0,ALGONQUIN 41,2016_General Election
26TH SENATE,Blank Ballots,,1265,49,4.0,ALGONQUIN 41,2016_General Election
26TH SENATE,Under Votes,,1265,0,0.0,ALGONQUIN 41,2016_General Election
26TH SENATE,Over Votes,,1265,0,0.0,ALGONQUIN 41,2016_General Election
52ND REPRESENTATIVE,DAVID McSWEENEY,Republican,1265,626,49.0,ALGONQUIN 41,2016_General Election
52ND REPRESENTATIVE,Blank Ballots,,1265,231,18.0,ALGONQUIN 41,2016_General Election
52ND REPRESENTATIVE,Under Votes,,1265,0,0.0,ALGONQUIN 41,2016_General Election
52ND REPRESENTATIVE,Over Votes,,1265,0,0.0,ALGONQUIN 41,2016_General Election
52ND REPRESENTATIVE,Chris Bauman WRI,NonPartisan,1265,0,0.0,ALGONQUIN 41,2016_General Election
52ND REPRESENTATIVE,Write-in,NonPartisan,1265,0,0.0,ALGONQUIN 41,2016_General Election
6TH CONGRESS,PETER J. ROSKAM,Republican,1265,465,37.0,ALGONQUIN 41,2016_General Election
6TH CONGRESS,AMANDA HOWLAND,Democrat,1265,365,29.0,ALGONQUIN 41,2016_General Election
6TH CONGRESS,Blank Ballots,,1265,29,2.0,ALGONQUIN 41,2016_General Election
6TH CONGRESS,Under Votes,,1265,0,0.0,ALGONQUIN 41,2016_General Election
6TH CONGRESS,Over Votes,,1265,0,0.0,ALGONQUIN 41,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1265,451,36.0,ALGONQUIN 41,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,1265,327,26.0,ALGONQUIN 41,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1265,39,3.0,ALGONQUIN 41,2016_General Election
COMPTROLLER,Blank Ballots,,1265,23,2.0,ALGONQUIN 41,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1265,17,1.0,ALGONQUIN 41,2016_General Election
COMPTROLLER,Under Votes,,1265,0,0.0,ALGONQUIN 41,2016_General Election
COMPTROLLER,Over Votes,,1265,0,0.0,ALGONQUIN 41,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,1265,608,48.0,ALGONQUIN 41,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,1265,194,15.0,ALGONQUIN 41,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,1265,55,4.0,ALGONQUIN 41,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,1265,0,0.0,ALGONQUIN 41,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,1265,0,0.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,1265,393,31.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1265,390,31.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1265,50,4.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,1265,15,1.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1265,7,1.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,1265,2,0.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,1265,1,0.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,1265,1,0.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,1265,0,0.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,1265,0,0.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,1265,0,0.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,1265,0,0.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,1265,0,0.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,1265,0,0.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,1265,0,0.0,ALGONQUIN 41,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,1265,0,0.0,ALGONQUIN 41,2016_General Election
