,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
8339,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1223,312,26.0,NUNDA 12,2018_General Election
6391,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1223,290,24.0,NUNDA 12,2018_General Election
4444,14TH CONGRESS,Under Votes,,1223,7,1.0,NUNDA 12,2018_General Election
4445,14TH CONGRESS,Over Votes,,1223,0,0.0,NUNDA 12,2018_General Election
8349,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1223,421,34.0,NUNDA 12,2018_General Election
4464,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1223,91,7.0,NUNDA 12,2018_General Election
4465,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1223,0,0.0,NUNDA 12,2018_General Election
10787,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1223,397,32.0,NUNDA 12,2018_General Election
10788,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1223,126,10.0,NUNDA 12,2018_General Election
4466,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1223,86,7.0,NUNDA 12,2018_General Election
4467,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1223,0,0.0,NUNDA 12,2018_General Election
8345,26TH SENATE,DAN McCONCHIE,REPUBLICAN,1223,31,3.0,NUNDA 12,2018_General Election
6397,26TH SENATE,TOM GEORGES,DEMOCRACT,1223,9,1.0,NUNDA 12,2018_General Election
4456,26TH SENATE,Under Votes,,1223,2,0.0,NUNDA 12,2018_General Election
4457,26TH SENATE,Over Votes,,1223,0,0.0,NUNDA 12,2018_General Election
10789,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1223,404,33.0,NUNDA 12,2018_General Election
10790,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1223,118,10.0,NUNDA 12,2018_General Election
4468,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1223,87,7.0,NUNDA 12,2018_General Election
4469,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1223,0,0.0,NUNDA 12,2018_General Election
8346,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1223,295,24.0,NUNDA 12,2018_General Election
6398,32ND SENATE,MARY MAHADY,DEMOCRACT,1223,262,21.0,NUNDA 12,2018_General Election
4458,32ND SENATE,Under Votes,,1223,10,1.0,NUNDA 12,2018_General Election
