ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,1022,464,45.0,GRAFTON 7,2016_General Election
14TH CONGRESS,JIM WALZ,Democrat,1022,261,26.0,GRAFTON 7,2016_General Election
14TH CONGRESS,Blank Ballots,,1022,17,2.0,GRAFTON 7,2016_General Election
14TH CONGRESS,Under Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
14TH CONGRESS,Over Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
22ND CIRCUIT- GRAFTONHAM VACANCY,JAMES S. COWLIN,Republican,1022,601,59.0,GRAFTON 7,2016_General Election
22ND CIRCUIT- GRAFTONHAM VACANCY,Blank Ballots,,1022,141,14.0,GRAFTON 7,2016_General Election
22ND CIRCUIT- GRAFTONHAM VACANCY,Under Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
22ND CIRCUIT- GRAFTONHAM VACANCY,Over Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
32ND SENATE,MELISSA COYNE,Democrat,1022,72,7.0,GRAFTON 7,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,1022,71,7.0,GRAFTON 7,2016_General Election
32ND SENATE,Blank Ballots,,1022,1,0.0,GRAFTON 7,2016_General Election
32ND SENATE,Under Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
32ND SENATE,Over Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
64TH REPRESENTATIVE,BARBARA WHEELER,Republican,1022,104,10.0,GRAFTON 7,2016_General Election
64TH REPRESENTATIVE,Blank Ballots,,1022,40,4.0,GRAFTON 7,2016_General Election
64TH REPRESENTATIVE,Under Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
64TH REPRESENTATIVE,Over Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
66TH REPRESENTATIVE,ALLEN SKILLICORN,Republican,1022,395,39.0,GRAFTON 7,2016_General Election
66TH REPRESENTATIVE,NANCY A. ZETTLER,Democrat,1022,186,18.0,GRAFTON 7,2016_General Election
66TH REPRESENTATIVE,Blank Ballots,,1022,17,2.0,GRAFTON 7,2016_General Election
66TH REPRESENTATIVE,Under Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
66TH REPRESENTATIVE,Over Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1022,453,44.0,GRAFTON 7,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,1022,236,23.0,GRAFTON 7,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1022,23,2.0,GRAFTON 7,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1022,20,2.0,GRAFTON 7,2016_General Election
COMPTROLLER,Blank Ballots,,1022,10,1.0,GRAFTON 7,2016_General Election
COMPTROLLER,Under Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
COMPTROLLER,Over Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,1022,558,55.0,GRAFTON 7,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,1022,152,15.0,GRAFTON 7,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,1022,32,3.0,GRAFTON 7,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,1022,335,33.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1022,324,32.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1022,47,5.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,1022,25,2.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1022,8,1.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,1022,3,0.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,1022,0,0.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,1022,0,0.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,1022,0,0.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,1022,0,0.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,1022,0,0.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,1022,0,0.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,1022,0,0.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,1022,0,0.0,GRAFTON 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Kotlikoff/Leam..WRI,NonPartisan,1022,0,0.0,GRAFTON 7,2016_General Election
UNITED STATES SENATOR,MARK STEVEN KIRK,Republican,1022,400,39.0,GRAFTON 7,2016_General Election
UNITED STATES SENATOR,TAMMY DUCKWORTH,Democrat,1022,293,29.0,GRAFTON 7,2016_General Election
UNITED STATES SENATOR,KENTON McMILLEN,Libertarian,1022,27,3.0,GRAFTON 7,2016_General Election
UNITED STATES SENATOR,Blank Ballots,,1022,11,1.0,GRAFTON 7,2016_General Election
UNITED STATES SENATOR,SCOTT SUMMERS,Green,1022,9,1.0,GRAFTON 7,2016_General Election
UNITED STATES SENATOR,Chris M Aguayo WRI,NonPartisan,1022,2,0.0,GRAFTON 7,2016_General Election
UNITED STATES SENATOR,Under Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
UNITED STATES SENATOR,Over Votes,,1022,0,0.0,GRAFTON 7,2016_General Election
