,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
7750,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,905,311,34.0,GRAFTON 30,2018_General Election
5933,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,905,198,22.0,GRAFTON 30,2018_General Election
2951,14TH CONGRESS,Under Votes,,905,7,1.0,GRAFTON 30,2018_General Election
2952,14TH CONGRESS,Over Votes,,905,0,0.0,GRAFTON 30,2018_General Election
7758,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,905,377,42.0,GRAFTON 30,2018_General Election
2967,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,905,47,5.0,GRAFTON 30,2018_General Election
2968,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,905,0,0.0,GRAFTON 30,2018_General Election
10472,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,905,367,41.0,GRAFTON 30,2018_General Election
10473,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,905,91,10.0,GRAFTON 30,2018_General Election
2969,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,905,58,6.0,GRAFTON 30,2018_General Election
2970,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,905,0,0.0,GRAFTON 30,2018_General Election
10474,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,905,379,42.0,GRAFTON 30,2018_General Election
10475,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,905,75,8.0,GRAFTON 30,2018_General Election
2971,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,905,62,7.0,GRAFTON 30,2018_General Election
2972,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,905,0,0.0,GRAFTON 30,2018_General Election
7756,33RD SENATE,DONALD P. DeWITTE,REPUBLICAN,905,313,35.0,GRAFTON 30,2018_General Election
5939,33RD SENATE,NANCY ZETTLER,DEMOCRACT,905,196,22.0,GRAFTON 30,2018_General Election
2963,33RD SENATE,Under Votes,,905,7,1.0,GRAFTON 30,2018_General Election
2964,33RD SENATE,Over Votes,,905,0,0.0,GRAFTON 30,2018_General Election
7757,66TH REPRESENTATIVE,ALLEN SKILLICORN,REPUBLICAN,905,389,43.0,GRAFTON 30,2018_General Election
2965,66TH REPRESENTATIVE,Under Votes,,905,36,4.0,GRAFTON 30,2018_General Election
2966,66TH REPRESENTATIVE,Over Votes,,905,0,0.0,GRAFTON 30,2018_General Election
7752,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,905,318,35.0,GRAFTON 30,2018_General Election
5935,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,905,184,20.0,GRAFTON 30,2018_General Election
9195,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,905,8,1.0,GRAFTON 30,2018_General Election
2955,ATTORNEY GENERAL,Under Votes,,905,6,1.0,GRAFTON 30,2018_General Election
2956,ATTORNEY GENERAL,Over Votes,,905,0,0.0,GRAFTON 30,2018_General Election
7754,COMPTROLLER,DARLENE SENGER,REPUBLICAN,905,298,33.0,GRAFTON 30,2018_General Election
5937,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,905,204,23.0,GRAFTON 30,2018_General Election
9197,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,905,8,1.0,GRAFTON 30,2018_General Election
2959,COMPTROLLER,Under Votes,,905,6,1.0,GRAFTON 30,2018_General Election
2960,COMPTROLLER,Over Votes,,905,0,0.0,GRAFTON 30,2018_General Election
7751,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,905,318,35.0,GRAFTON 30,2018_General Election
5934,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,905,173,19.0,GRAFTON 30,2018_General Election
9194,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,905,11,1.0,GRAFTON 30,2018_General Election
9758,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,905,9,1.0,GRAFTON 30,2018_General Election
2953,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,905,4,0.0,GRAFTON 30,2018_General Election
10471,GOVERNOR AND LIEUTENANT GOVERNOR,Write-in,NONPARTISAN,905,1,0.0,GRAFTON 30,2018_General Election
2954,GOVERNOR AND LIEUTENANT GOVERNOR,Over Votes,,905,0,0.0,GRAFTON 30,2018_General Election
5936,SECRETARY OF STATE,JESSE WHITE,DEMOCRACT,905,271,30.0,GRAFTON 30,2018_General Election
7753,SECRETARY OF STATE,JASON HELLAND,REPUBLICAN,905,235,26.0,GRAFTON 30,2018_General Election
9196,SECRETARY OF STATE,STEVE DUTNER,LIBERTARIAN,905,8,1.0,GRAFTON 30,2018_General Election
2957,SECRETARY OF STATE,Under Votes,,905,2,0.0,GRAFTON 30,2018_General Election
2958,SECRETARY OF STATE,Over Votes,,905,0,0.0,GRAFTON 30,2018_General Election
7755,TREASURER,JIM DODGE,REPUBLICAN,905,317,35.0,GRAFTON 30,2018_General Election
5938,TREASURER,MICHAEL W. FRERICHS,DEMOCRACT,905,181,20.0,GRAFTON 30,2018_General Election
9198,TREASURER,MICHAEL LEHENEY,LIBERTARIAN,905,11,1.0,GRAFTON 30,2018_General Election
2961,TREASURER,Under Votes,,905,7,1.0,GRAFTON 30,2018_General Election
2962,TREASURER,Over Votes,,905,0,0.0,GRAFTON 30,2018_General Election
