ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,802,425,53.0,ALGONQUIN 9,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,802,142,18.0,ALGONQUIN 9,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
26TH SENATE,DAN McCONCHIE,Republican,802,319,40.0,ALGONQUIN 9,2016_General Election
26TH SENATE,KELLY MAZESKI,Democrat,802,227,28.0,ALGONQUIN 9,2016_General Election
26TH SENATE,Blank Ballots,,802,21,3.0,ALGONQUIN 9,2016_General Election
26TH SENATE,Under Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
26TH SENATE,Over Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
52ND REPRESENTATIVE,DAVID McSWEENEY,Republican,802,439,55.0,ALGONQUIN 9,2016_General Election
52ND REPRESENTATIVE,Blank Ballots,,802,128,16.0,ALGONQUIN 9,2016_General Election
52ND REPRESENTATIVE,Under Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
52ND REPRESENTATIVE,Over Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
52ND REPRESENTATIVE,Chris Bauman WRI,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
52ND REPRESENTATIVE,Write-in,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
6TH CONGRESS,PETER J. ROSKAM,Republican,802,326,41.0,ALGONQUIN 9,2016_General Election
6TH CONGRESS,AMANDA HOWLAND,Democrat,802,222,28.0,ALGONQUIN 9,2016_General Election
6TH CONGRESS,Blank Ballots,,802,22,3.0,ALGONQUIN 9,2016_General Election
6TH CONGRESS,Under Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
6TH CONGRESS,Over Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,802,335,42.0,ALGONQUIN 9,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,802,189,24.0,ALGONQUIN 9,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,802,22,3.0,ALGONQUIN 9,2016_General Election
COMPTROLLER,Blank Ballots,,802,13,2.0,ALGONQUIN 9,2016_General Election
COMPTROLLER,TIM CURTIN,Green,802,8,1.0,ALGONQUIN 9,2016_General Election
COMPTROLLER,Under Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
COMPTROLLER,Over Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,802,417,52.0,ALGONQUIN 9,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,802,109,14.0,ALGONQUIN 9,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,802,41,5.0,ALGONQUIN 9,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,802,259,32.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,802,254,32.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,802,28,3.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,802,18,2.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,802,8,1.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,802,3,0.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
PRESIDENT AND VICE PRESIDENT,Kotlikoff/Leam..WRI,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
UNITED STATES SENATOR,MARK STEVEN KIRK,Republican,802,296,37.0,ALGONQUIN 9,2016_General Election
UNITED STATES SENATOR,TAMMY DUCKWORTH,Democrat,802,233,29.0,ALGONQUIN 9,2016_General Election
UNITED STATES SENATOR,KENTON McMILLEN,Libertarian,802,24,3.0,ALGONQUIN 9,2016_General Election
UNITED STATES SENATOR,Blank Ballots,,802,10,1.0,ALGONQUIN 9,2016_General Election
UNITED STATES SENATOR,SCOTT SUMMERS,Green,802,7,1.0,ALGONQUIN 9,2016_General Election
UNITED STATES SENATOR,Under Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
UNITED STATES SENATOR,Over Votes,,802,0,0.0,ALGONQUIN 9,2016_General Election
UNITED STATES SENATOR,Write-in,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
UNITED STATES SENATOR,Jim Brown WRI,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
UNITED STATES SENATOR,Susana Sandoval WRI,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
UNITED STATES SENATOR,Chad Koppie WRI,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
UNITED STATES SENATOR,Eric K J Stewert WRI,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
UNITED STATES SENATOR,Chris M Aguayo WRI,NonPartisan,802,0,0.0,ALGONQUIN 9,2016_General Election
