,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
6922,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,843,344,41.0,ALGONQUIN 36,2018_General Election
855,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,843,65,8.0,ALGONQUIN 36,2018_General Election
856,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,843,0,0.0,ALGONQUIN 36,2018_General Election
10032,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,843,339,40.0,ALGONQUIN 36,2018_General Election
10033,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,843,98,12.0,ALGONQUIN 36,2018_General Election
857,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,843,61,7.0,ALGONQUIN 36,2018_General Election
858,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,843,0,0.0,ALGONQUIN 36,2018_General Election
10034,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,843,345,41.0,ALGONQUIN 36,2018_General Election
10035,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,843,85,10.0,ALGONQUIN 36,2018_General Election
859,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,843,68,8.0,ALGONQUIN 36,2018_General Election
860,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,843,0,0.0,ALGONQUIN 36,2018_General Election
5302,33RD SENATE,NANCY ZETTLER,DEMOCRACT,843,252,30.0,ALGONQUIN 36,2018_General Election
6920,33RD SENATE,DONALD P. DeWITTE,REPUBLICAN,843,240,28.0,ALGONQUIN 36,2018_General Election
851,33RD SENATE,Under Votes,,843,6,1.0,ALGONQUIN 36,2018_General Election
852,33RD SENATE,Over Votes,,843,0,0.0,ALGONQUIN 36,2018_General Election
6921,66TH REPRESENTATIVE,ALLEN SKILLICORN,REPUBLICAN,843,318,38.0,ALGONQUIN 36,2018_General Election
853,66TH REPRESENTATIVE,Under Votes,,843,79,9.0,ALGONQUIN 36,2018_General Election
854,66TH REPRESENTATIVE,Over Votes,,843,0,0.0,ALGONQUIN 36,2018_General Election
5296,6TH CONGRESS,SEAN CASTEN,DEMOCRACT,843,267,32.0,ALGONQUIN 36,2018_General Election
6914,6TH CONGRESS,PETER J. ROSKAM,REPUBLICAN,843,230,27.0,ALGONQUIN 36,2018_General Election
839,6TH CONGRESS,Under Votes,,843,2,0.0,ALGONQUIN 36,2018_General Election
840,6TH CONGRESS,Over Votes,,843,0,0.0,ALGONQUIN 36,2018_General Election
6916,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,843,240,28.0,ALGONQUIN 36,2018_General Election
5298,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,843,233,28.0,ALGONQUIN 36,2018_General Election
8755,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,843,17,2.0,ALGONQUIN 36,2018_General Election
843,ATTORNEY GENERAL,Under Votes,,843,8,1.0,ALGONQUIN 36,2018_General Election
844,ATTORNEY GENERAL,Over Votes,,843,0,0.0,ALGONQUIN 36,2018_General Election
5300,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,843,257,30.0,ALGONQUIN 36,2018_General Election
6918,COMPTROLLER,DARLENE SENGER,REPUBLICAN,843,220,26.0,ALGONQUIN 36,2018_General Election
8757,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,843,18,2.0,ALGONQUIN 36,2018_General Election
847,COMPTROLLER,Under Votes,,843,2,0.0,ALGONQUIN 36,2018_General Election
848,COMPTROLLER,Over Votes,,843,1,0.0,ALGONQUIN 36,2018_General Election
6915,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,843,243,29.0,ALGONQUIN 36,2018_General Election
5297,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,843,217,26.0,ALGONQUIN 36,2018_General Election
8754,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,843,17,2.0,ALGONQUIN 36,2018_General Election
9670,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,843,11,1.0,ALGONQUIN 36,2018_General Election
841,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,843,10,1.0,ALGONQUIN 36,2018_General Election
842,GOVERNOR AND LIEUTENANT GOVERNOR,Over Votes,,843,0,0.0,ALGONQUIN 36,2018_General Election
10031,GOVERNOR AND LIEUTENANT GOVERNOR,Write-in,NONPARTISAN,843,0,0.0,ALGONQUIN 36,2018_General Election
5299,SECRETARY OF STATE,JESSE WHITE,DEMOCRACT,843,329,39.0,ALGONQUIN 36,2018_General Election
6917,SECRETARY OF STATE,JASON HELLAND,REPUBLICAN,843,147,17.0,ALGONQUIN 36,2018_General Election
8756,SECRETARY OF STATE,STEVE DUTNER,LIBERTARIAN,843,17,2.0,ALGONQUIN 36,2018_General Election
845,SECRETARY OF STATE,Under Votes,,843,5,1.0,ALGONQUIN 36,2018_General Election
846,SECRETARY OF STATE,Over Votes,,843,0,0.0,ALGONQUIN 36,2018_General Election
6919,TREASURER,JIM DODGE,REPUBLICAN,843,239,28.0,ALGONQUIN 36,2018_General Election
5301,TREASURER,MICHAEL W. FRERICHS,DEMOCRACT,843,232,28.0,ALGONQUIN 36,2018_General Election
8758,TREASURER,MICHAEL LEHENEY,LIBERTARIAN,843,22,3.0,ALGONQUIN 36,2018_General Election
849,TREASURER,Under Votes,,843,5,1.0,ALGONQUIN 36,2018_General Election
850,TREASURER,Over Votes,,843,0,0.0,ALGONQUIN 36,2018_General Election
