,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
8294,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,954,236,25.0,NUNDA 7,2018_General Election
6353,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,954,208,22.0,NUNDA 7,2018_General Election
4329,14TH CONGRESS,Under Votes,,954,5,1.0,NUNDA 7,2018_General Election
4330,14TH CONGRESS,Over Votes,,954,0,0.0,NUNDA 7,2018_General Election
8302,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,954,308,32.0,NUNDA 7,2018_General Election
4345,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,954,53,6.0,NUNDA 7,2018_General Election
4346,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,954,0,0.0,NUNDA 7,2018_General Election
10762,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,954,281,29.0,NUNDA 7,2018_General Election
10763,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,954,126,13.0,NUNDA 7,2018_General Election
4347,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,954,41,4.0,NUNDA 7,2018_General Election
4348,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,954,0,0.0,NUNDA 7,2018_General Election
8300,26TH SENATE,DAN McCONCHIE,REPUBLICAN,954,258,27.0,NUNDA 7,2018_General Election
6359,26TH SENATE,TOM GEORGES,DEMOCRACT,954,184,19.0,NUNDA 7,2018_General Election
4341,26TH SENATE,Under Votes,,954,6,1.0,NUNDA 7,2018_General Election
4342,26TH SENATE,Over Votes,,954,0,0.0,NUNDA 7,2018_General Election
10764,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,954,286,30.0,NUNDA 7,2018_General Election
10765,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,954,119,12.0,NUNDA 7,2018_General Election
4349,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,954,43,5.0,NUNDA 7,2018_General Election
4350,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,954,0,0.0,NUNDA 7,2018_General Election
8301,52ND REPRESENTATIVE,DAVID McSWEENEY,REPUBLICAN,954,301,32.0,NUNDA 7,2018_General Election
4343,52ND REPRESENTATIVE,Under Votes,,954,47,5.0,NUNDA 7,2018_General Election
4344,52ND REPRESENTATIVE,Over Votes,,954,0,0.0,NUNDA 7,2018_General Election
8296,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,954,243,25.0,NUNDA 7,2018_General Election
6355,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,954,188,20.0,NUNDA 7,2018_General Election
9485,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,954,13,1.0,NUNDA 7,2018_General Election
4333,ATTORNEY GENERAL,Under Votes,,954,4,0.0,NUNDA 7,2018_General Election
4334,ATTORNEY GENERAL,Over Votes,,954,0,0.0,NUNDA 7,2018_General Election
8298,COMPTROLLER,DARLENE SENGER,REPUBLICAN,954,233,24.0,NUNDA 7,2018_General Election
6357,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,954,195,20.0,NUNDA 7,2018_General Election
9487,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,954,16,2.0,NUNDA 7,2018_General Election
4337,COMPTROLLER,Under Votes,,954,3,0.0,NUNDA 7,2018_General Election
4338,COMPTROLLER,Over Votes,,954,1,0.0,NUNDA 7,2018_General Election
