,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
7005,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,951,361,38.0,ALGONQUIN 45,2018_General Election
1066,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,951,92,10.0,ALGONQUIN 45,2018_General Election
1067,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,951,1,0.0,ALGONQUIN 45,2018_General Election
10077,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,951,367,39.0,ALGONQUIN 45,2018_General Election
10078,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,951,118,12.0,ALGONQUIN 45,2018_General Election
1068,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,951,80,8.0,ALGONQUIN 45,2018_General Election
1069,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,951,0,0.0,ALGONQUIN 45,2018_General Election
7003,26TH SENATE,DAN McCONCHIE,REPUBLICAN,951,305,32.0,ALGONQUIN 45,2018_General Election
5366,26TH SENATE,TOM GEORGES,DEMOCRACT,951,254,27.0,ALGONQUIN 45,2018_General Election
1062,26TH SENATE,Under Votes,,951,6,1.0,ALGONQUIN 45,2018_General Election
1063,26TH SENATE,Over Votes,,951,0,0.0,ALGONQUIN 45,2018_General Election
10079,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,951,377,40.0,ALGONQUIN 45,2018_General Election
10080,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,951,102,11.0,ALGONQUIN 45,2018_General Election
1070,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,951,86,9.0,ALGONQUIN 45,2018_General Election
1071,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,951,0,0.0,ALGONQUIN 45,2018_General Election
7004,52ND REPRESENTATIVE,DAVID McSWEENEY,REPUBLICAN,951,376,40.0,ALGONQUIN 45,2018_General Election
1064,52ND REPRESENTATIVE,Under Votes,,951,68,7.0,ALGONQUIN 45,2018_General Election
1065,52ND REPRESENTATIVE,Over Votes,,951,0,0.0,ALGONQUIN 45,2018_General Election
5360,6TH CONGRESS,SEAN CASTEN,DEMOCRACT,951,292,31.0,ALGONQUIN 45,2018_General Election
6997,6TH CONGRESS,PETER J. ROSKAM,REPUBLICAN,951,271,28.0,ALGONQUIN 45,2018_General Election
1050,6TH CONGRESS,Under Votes,,951,2,0.0,ALGONQUIN 45,2018_General Election
