,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
6145,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1337,308,23.0,MCHENRY 14,2018_General Election
8036,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1337,278,21.0,MCHENRY 14,2018_General Election
3673,14TH CONGRESS,Under Votes,,1337,9,1.0,MCHENRY 14,2018_General Election
3674,14TH CONGRESS,Over Votes,,1337,0,0.0,MCHENRY 14,2018_General Election
8044,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1337,425,32.0,MCHENRY 14,2018_General Election
3689,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1337,81,6.0,MCHENRY 14,2018_General Election
3690,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1337,0,0.0,MCHENRY 14,2018_General Election
10622,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1337,427,32.0,MCHENRY 14,2018_General Election
10623,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1337,110,8.0,MCHENRY 14,2018_General Election
3691,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1337,58,4.0,MCHENRY 14,2018_General Election
3692,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1337,0,0.0,MCHENRY 14,2018_General Election
10624,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1337,434,32.0,MCHENRY 14,2018_General Election
10625,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1337,98,7.0,MCHENRY 14,2018_General Election
3693,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1337,63,5.0,MCHENRY 14,2018_General Election
3694,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1337,0,0.0,MCHENRY 14,2018_General Election
6151,32ND SENATE,MARY MAHADY,DEMOCRACT,1337,304,23.0,MCHENRY 14,2018_General Election
8042,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1337,277,21.0,MCHENRY 14,2018_General Election
3685,32ND SENATE,Under Votes,,1337,14,1.0,MCHENRY 14,2018_General Election
3686,32ND SENATE,Over Votes,,1337,0,0.0,MCHENRY 14,2018_General Election
8043,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,1337,412,31.0,MCHENRY 14,2018_General Election
3687,63RD REPRESENTATIVE,Under Votes,,1337,68,5.0,MCHENRY 14,2018_General Election
3688,63RD REPRESENTATIVE,Over Votes,,1337,0,0.0,MCHENRY 14,2018_General Election
8038,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1337,290,22.0,MCHENRY 14,2018_General Election
