ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,677,212,31.0,NUNDA 28,2016_General Election
14TH CONGRESS,JIM WALZ,Democrat,677,195,29.0,NUNDA 28,2016_General Election
14TH CONGRESS,Blank Ballots,,677,29,4.0,NUNDA 28,2016_General Election
14TH CONGRESS,Under Votes,,677,0,0.0,NUNDA 28,2016_General Election
14TH CONGRESS,Over Votes,,677,0,0.0,NUNDA 28,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,677,316,47.0,NUNDA 28,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,677,120,18.0,NUNDA 28,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,677,0,0.0,NUNDA 28,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,677,0,0.0,NUNDA 28,2016_General Election
26TH SENATE,DAN McCONCHIE,Republican,677,216,32.0,NUNDA 28,2016_General Election
26TH SENATE,KELLY MAZESKI,Democrat,677,184,27.0,NUNDA 28,2016_General Election
26TH SENATE,Blank Ballots,,677,36,5.0,NUNDA 28,2016_General Election
26TH SENATE,Under Votes,,677,0,0.0,NUNDA 28,2016_General Election
26TH SENATE,Over Votes,,677,0,0.0,NUNDA 28,2016_General Election
52ND REPRESENTATIVE,DAVID McSWEENEY,Republican,677,325,48.0,NUNDA 28,2016_General Election
52ND REPRESENTATIVE,Blank Ballots,,677,111,16.0,NUNDA 28,2016_General Election
52ND REPRESENTATIVE,Under Votes,,677,0,0.0,NUNDA 28,2016_General Election
52ND REPRESENTATIVE,Over Votes,,677,0,0.0,NUNDA 28,2016_General Election
52ND REPRESENTATIVE,Chris Bauman WRI,NonPartisan,677,0,0.0,NUNDA 28,2016_General Election
52ND REPRESENTATIVE,Write-in,NonPartisan,677,0,0.0,NUNDA 28,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,677,211,31.0,NUNDA 28,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,677,165,24.0,NUNDA 28,2016_General Election
