,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
6724,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,986,327,33.0,ALGONQUIN 14,2018_General Election
349,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,986,88,9.0,ALGONQUIN 14,2018_General Election
350,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,986,0,0.0,ALGONQUIN 14,2018_General Election
9922,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,986,322,33.0,ALGONQUIN 14,2018_General Election
9923,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,986,111,11.0,ALGONQUIN 14,2018_General Election
351,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,986,79,8.0,ALGONQUIN 14,2018_General Election
352,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,986,0,0.0,ALGONQUIN 14,2018_General Election
6722,26TH SENATE,DAN McCONCHIE,REPUBLICAN,986,285,29.0,ALGONQUIN 14,2018_General Election
5147,26TH SENATE,TOM GEORGES,DEMOCRACT,986,222,23.0,ALGONQUIN 14,2018_General Election
345,26TH SENATE,Under Votes,,986,5,1.0,ALGONQUIN 14,2018_General Election
346,26TH SENATE,Over Votes,,986,0,0.0,ALGONQUIN 14,2018_General Election
9924,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,986,334,34.0,ALGONQUIN 14,2018_General Election
9925,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,986,99,10.0,ALGONQUIN 14,2018_General Election
353,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,986,79,8.0,ALGONQUIN 14,2018_General Election
354,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,986,0,0.0,ALGONQUIN 14,2018_General Election
6723,52ND REPRESENTATIVE,DAVID McSWEENEY,REPUBLICAN,986,344,35.0,ALGONQUIN 14,2018_General Election
347,52ND REPRESENTATIVE,Under Votes,,986,68,7.0,ALGONQUIN 14,2018_General Election
348,52ND REPRESENTATIVE,Over Votes,,986,0,0.0,ALGONQUIN 14,2018_General Election
6716,6TH CONGRESS,PETER J. ROSKAM,REPUBLICAN,986,267,27.0,ALGONQUIN 14,2018_General Election
5141,6TH CONGRESS,SEAN CASTEN,DEMOCRACT,986,238,24.0,ALGONQUIN 14,2018_General Election
333,6TH CONGRESS,Under Votes,,986,7,1.0,ALGONQUIN 14,2018_General Election
334,6TH CONGRESS,Over Votes,,986,0,0.0,ALGONQUIN 14,2018_General Election
6718,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,986,293,30.0,ALGONQUIN 14,2018_General Election
