ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,910,367,40.0,MCHENRY 31,2016_General Election
14TH CONGRESS,JIM WALZ,Democrat,910,205,23.0,MCHENRY 31,2016_General Election
14TH CONGRESS,Blank Ballots,,910,13,1.0,MCHENRY 31,2016_General Election
14TH CONGRESS,Under Votes,,910,0,0.0,MCHENRY 31,2016_General Election
14TH CONGRESS,Over Votes,,910,0,0.0,MCHENRY 31,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,910,488,54.0,MCHENRY 31,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,910,97,11.0,MCHENRY 31,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,910,0,0.0,MCHENRY 31,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,910,0,0.0,MCHENRY 31,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,910,427,47.0,MCHENRY 31,2016_General Election
32ND SENATE,MELISSA COYNE,Democrat,910,145,16.0,MCHENRY 31,2016_General Election
32ND SENATE,Blank Ballots,,910,13,1.0,MCHENRY 31,2016_General Election
32ND SENATE,Under Votes,,910,0,0.0,MCHENRY 31,2016_General Election
32ND SENATE,Over Votes,,910,0,0.0,MCHENRY 31,2016_General Election
63RD REPRESENTATIVE,STEVEN REICK,Republican,910,340,37.0,MCHENRY 31,2016_General Election
63RD REPRESENTATIVE,JOHN M. BARTMAN,Democrat,910,230,25.0,MCHENRY 31,2016_General Election
63RD REPRESENTATIVE,Blank Ballots,,910,15,2.0,MCHENRY 31,2016_General Election
63RD REPRESENTATIVE,Under Votes,,910,0,0.0,MCHENRY 31,2016_General Election
63RD REPRESENTATIVE,Over Votes,,910,0,0.0,MCHENRY 31,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,910,366,40.0,MCHENRY 31,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,910,167,18.0,MCHENRY 31,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,910,25,3.0,MCHENRY 31,2016_General Election
COMPTROLLER,TIM CURTIN,Green,910,15,2.0,MCHENRY 31,2016_General Election
COMPTROLLER,Blank Ballots,,910,12,1.0,MCHENRY 31,2016_General Election
COMPTROLLER,Under Votes,,910,0,0.0,MCHENRY 31,2016_General Election
COMPTROLLER,Over Votes,,910,0,0.0,MCHENRY 31,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,910,453,50.0,MCHENRY 31,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,910,99,11.0,MCHENRY 31,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,910,32,4.0,MCHENRY 31,2016_General Election
