,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
7483,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,734,236,32.0,GRAFTON 02,2018_General Election
5724,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,734,220,30.0,GRAFTON 02,2018_General Election
2277,14TH CONGRESS,Under Votes,,734,0,0.0,GRAFTON 02,2018_General Election
2278,14TH CONGRESS,Over Votes,,734,0,0.0,GRAFTON 02,2018_General Election
7491,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,734,338,46.0,GRAFTON 02,2018_General Election
2293,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,734,67,9.0,GRAFTON 02,2018_General Election
2294,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,734,0,0.0,GRAFTON 02,2018_General Election
10332,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,734,332,45.0,GRAFTON 02,2018_General Election
10333,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,734,78,11.0,GRAFTON 02,2018_General Election
2295,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,734,46,6.0,GRAFTON 02,2018_General Election
2296,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,734,0,0.0,GRAFTON 02,2018_General Election
10334,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,734,341,46.0,GRAFTON 02,2018_General Election
10335,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,734,65,9.0,GRAFTON 02,2018_General Election
2297,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,734,50,7.0,GRAFTON 02,2018_General Election
2298,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,734,0,0.0,GRAFTON 02,2018_General Election
7489,32ND SENATE,CRAIG WILCOX,REPUBLICAN,734,257,35.0,GRAFTON 02,2018_General Election
5730,32ND SENATE,MARY MAHADY,DEMOCRACT,734,198,27.0,GRAFTON 02,2018_General Election
2289,32ND SENATE,Under Votes,,734,1,0.0,GRAFTON 02,2018_General Election
2290,32ND SENATE,Over Votes,,734,0,0.0,GRAFTON 02,2018_General Election
7490,64TH REPRESENTATIVE,TOM WEBER,REPUBLICAN,734,263,36.0,GRAFTON 02,2018_General Election
