ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,1015,429,42.0,MCHENRY 35,2016_General Election
14TH CONGRESS,JIM WALZ,Democrat,1015,250,25.0,MCHENRY 35,2016_General Election
14TH CONGRESS,Blank Ballots,,1015,33,3.0,MCHENRY 35,2016_General Election
14TH CONGRESS,Under Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
14TH CONGRESS,Over Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,1015,557,55.0,MCHENRY 35,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,1015,155,15.0,MCHENRY 35,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,1015,513,51.0,MCHENRY 35,2016_General Election
32ND SENATE,MELISSA COYNE,Democrat,1015,175,17.0,MCHENRY 35,2016_General Election
32ND SENATE,Blank Ballots,,1015,24,2.0,MCHENRY 35,2016_General Election
32ND SENATE,Under Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
32ND SENATE,Over Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
63RD REPRESENTATIVE,STEVEN REICK,Republican,1015,405,40.0,MCHENRY 35,2016_General Election
63RD REPRESENTATIVE,JOHN M. BARTMAN,Democrat,1015,266,26.0,MCHENRY 35,2016_General Election
63RD REPRESENTATIVE,Blank Ballots,,1015,41,4.0,MCHENRY 35,2016_General Election
63RD REPRESENTATIVE,Under Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
63RD REPRESENTATIVE,Over Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1015,421,41.0,MCHENRY 35,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,1015,216,21.0,MCHENRY 35,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1015,31,3.0,MCHENRY 35,2016_General Election
COMPTROLLER,Blank Ballots,,1015,29,3.0,MCHENRY 35,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1015,15,1.0,MCHENRY 35,2016_General Election
COMPTROLLER,Under Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
COMPTROLLER,Over Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,1015,519,51.0,MCHENRY 35,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,1015,134,13.0,MCHENRY 35,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,1015,59,6.0,MCHENRY 35,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1015,384,38.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,1015,272,27.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1015,28,3.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,1015,16,2.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1015,11,1.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,1015,1,0.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,1015,0,0.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,1015,0,0.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,1015,0,0.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,1015,0,0.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,1015,0,0.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,1015,0,0.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,1015,0,0.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,1015,0,0.0,MCHENRY 35,2016_General Election
PRESIDENT AND VICE PRESIDENT,Kotlikoff/Leam..WRI,NonPartisan,1015,0,0.0,MCHENRY 35,2016_General Election
UNITED STATES SENATOR,MARK STEVEN KIRK,Republican,1015,384,38.0,MCHENRY 35,2016_General Election
UNITED STATES SENATOR,TAMMY DUCKWORTH,Democrat,1015,270,27.0,MCHENRY 35,2016_General Election
UNITED STATES SENATOR,KENTON McMILLEN,Libertarian,1015,28,3.0,MCHENRY 35,2016_General Election
UNITED STATES SENATOR,Blank Ballots,,1015,19,2.0,MCHENRY 35,2016_General Election
UNITED STATES SENATOR,SCOTT SUMMERS,Green,1015,11,1.0,MCHENRY 35,2016_General Election
UNITED STATES SENATOR,Under Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
UNITED STATES SENATOR,Over Votes,,1015,0,0.0,MCHENRY 35,2016_General Election
UNITED STATES SENATOR,Write-in,NonPartisan,1015,0,0.0,MCHENRY 35,2016_General Election
UNITED STATES SENATOR,Jim Brown WRI,NonPartisan,1015,0,0.0,MCHENRY 35,2016_General Election
UNITED STATES SENATOR,Susana Sandoval WRI,NonPartisan,1015,0,0.0,MCHENRY 35,2016_General Election
UNITED STATES SENATOR,Chad Koppie WRI,NonPartisan,1015,0,0.0,MCHENRY 35,2016_General Election
UNITED STATES SENATOR,Eric K J Stewert WRI,NonPartisan,1015,0,0.0,MCHENRY 35,2016_General Election
UNITED STATES SENATOR,Chris M Aguayo WRI,NonPartisan,1015,0,0.0,MCHENRY 35,2016_General Election
