,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
5651,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1259,431,34.0,DORR 7,2018_General Election
7382,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1259,258,20.0,DORR 7,2018_General Election
2025,14TH CONGRESS,Under Votes,,1259,9,1.0,DORR 7,2018_General Election
2026,14TH CONGRESS,Over Votes,,1259,0,0.0,DORR 7,2018_General Election
7391,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,TIFFANY DAVIS,REPUBLICAN,1259,442,35.0,DORR 7,2018_General Election
2043,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Under Votes,,1259,129,10.0,DORR 7,2018_General Election
2044,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Over Votes,,1259,0,0.0,DORR 7,2018_General Election
7390,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1259,446,35.0,DORR 7,2018_General Election
2041,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1259,124,10.0,DORR 7,2018_General Election
2042,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1259,0,0.0,DORR 7,2018_General Election
10282,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1259,461,37.0,DORR 7,2018_General Election
10283,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1259,129,10.0,DORR 7,2018_General Election
2045,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1259,106,8.0,DORR 7,2018_General Election
2046,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1259,0,0.0,DORR 7,2018_General Election
10284,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1259,479,38.0,DORR 7,2018_General Election
10285,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1259,109,9.0,DORR 7,2018_General Election
2047,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1259,107,8.0,DORR 7,2018_General Election
2048,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1259,1,0.0,DORR 7,2018_General Election
5657,32ND SENATE,MARY MAHADY,DEMOCRACT,1259,373,30.0,DORR 7,2018_General Election
7388,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1259,309,25.0,DORR 7,2018_General Election
2037,32ND SENATE,Under Votes,,1259,14,1.0,DORR 7,2018_General Election
2038,32ND SENATE,Over Votes,,1259,0,0.0,DORR 7,2018_General Election
7389,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,1259,437,35.0,DORR 7,2018_General Election
2039,63RD REPRESENTATIVE,Under Votes,,1259,110,9.0,DORR 7,2018_General Election
2040,63RD REPRESENTATIVE,Over Votes,,1259,0,0.0,DORR 7,2018_General Election
5653,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,1259,362,29.0,DORR 7,2018_General Election
7384,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1259,313,25.0,DORR 7,2018_General Election
9005,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,1259,12,1.0,DORR 7,2018_General Election
2029,ATTORNEY GENERAL,Under Votes,,1259,9,1.0,DORR 7,2018_General Election
2030,ATTORNEY GENERAL,Over Votes,,1259,0,0.0,DORR 7,2018_General Election
5655,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,1259,412,33.0,DORR 7,2018_General Election
7386,COMPTROLLER,DARLENE SENGER,REPUBLICAN,1259,249,20.0,DORR 7,2018_General Election
9007,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,1259,24,2.0,DORR 7,2018_General Election
2033,COMPTROLLER,Under Votes,,1259,11,1.0,DORR 7,2018_General Election
2034,COMPTROLLER,Over Votes,,1259,0,0.0,DORR 7,2018_General Election
5652,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,1259,348,28.0,DORR 7,2018_General Election
7383,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,1259,302,24.0,DORR 7,2018_General Election
9720,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,1259,21,2.0,DORR 7,2018_General Election
9004,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,1259,14,1.0,DORR 7,2018_General Election
2027,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,1259,11,1.0,DORR 7,2018_General Election
